Java HotSpot(TM) 64-Bit Server VM (25.251-b08) for windows-amd64 JRE (1.8.0_251-b08), built on Mar 12 2020 06:31:49 by "" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16474744k(10579832k free), swap 22504056k(15672108k free)
CommandLine flags: -XX:InitialHeapSize=209715200 -XX:MaxHeapSize=209715200 -XX:MaxNewSize=104857600 -XX:MaxTenuringThreshold=15 -XX:NewSize=104857600 -XX:OldPLABSize=16 -XX:PretenureSizeThreshold=3145728 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=8 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
31.403: [GC (Allocation Failure) 31.404: [ParNew: 80898K->2677K(92160K), 0.0021138 secs] 80898K->2677K(194560K), 0.0023872 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
33.410: [GC (Allocation Failure) 33.410: [ParNew: 84122K->1848K(92160K), 0.0025233 secs] 84122K->1848K(194560K), 0.0026339 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
34.425: [GC (Allocation Failure) 34.425: [ParNew: 82899K->2915K(92160K), 0.0023677 secs] 82899K->2915K(194560K), 0.0025518 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
36.441: [GC (Allocation Failure) 36.441: [ParNew: 84378K->2800K(92160K), 0.0035269 secs] 84378K->2800K(194560K), 0.0036837 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
37.454: [GC (Allocation Failure) 37.455: [ParNew: 84276K->2811K(92160K), 0.0024296 secs] 84276K->2811K(194560K), 0.0025412 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
39.471: [GC (Allocation Failure) 39.471: [ParNew: 84295K->2813K(92160K), 0.0027796 secs] 84295K->2813K(194560K), 0.0029113 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
40.484: [GC (Allocation Failure) 40.484: [ParNew: 84303K->2814K(92160K), 0.0012500 secs] 84303K->2814K(194560K), 0.0013048 secs] [Times: user=0.13 sys=0.00, real=0.00 secs] 
42.498: [GC (Allocation Failure) 42.498: [ParNew: 84307K->2814K(92160K), 0.0034241 secs] 84307K->2814K(194560K), 0.0035871 secs] [Times: user=0.13 sys=0.00, real=0.00 secs] 
44.519: [GC (Allocation Failure) 44.519: [ParNew: 84310K->2814K(92160K), 0.0011663 secs] 84310K->2814K(194560K), 0.0012712 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
45.525: [GC (Allocation Failure) 45.525: [ParNew: 84311K->2977K(92160K), 0.0011082 secs] 84311K->2977K(194560K), 0.0011635 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
47.534: [GC (Allocation Failure) 47.534: [ParNew: 84475K->2977K(92160K), 0.0011304 secs] 84475K->2977K(194560K), 0.0011915 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
48.535: [GC (Allocation Failure) 48.535: [ParNew: 84475K->2814K(92160K), 0.0011788 secs] 84475K->2814K(194560K), 0.0012317 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
50.541: [GC (Allocation Failure) 50.541: [ParNew: 84313K->2814K(92160K), 0.0009186 secs] 84313K->2814K(194560K), 0.0009773 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
